Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR031030,2010-02-17 15:49:07,2014-05-26 10:57:36,17485760,1224003200,0,70,877,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/031/SRR031030/SRR031030.sralite.1,SRX013966,HUMgjnRAXPEI,WGS,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP001453,PRJNA46213,2,46213,SRS008090,SAMN00008617,simple,9606,Homo sapiens,BGI-Saqqaq,,,,,male,,no,,,,,BGI,SRA010102,,public,9C6EB2A328144EE02CEF1DC3C365C677,989A88A8B42704DF5D7515718DAF55EE
SRR031031,2010-02-17 15:48:47,2014-05-26 10:57:31,17171529,1202007030,0,70,831,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/031/SRR031031/SRR031031.sralite.1,SRX013966,HUMgjnRAXPEI,WGS,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP001453,PRJNA46213,2,46213,SRS008090,SAMN00008617,simple,9606,Homo sapiens,BGI-Saqqaq,,,,,male,,no,,,,,BGI,SRA010102,,public,F18D9A8BEE1ECB72ADC7A9DB102C399A,91CA21DDCA8E450F76FB8E3D3E4C8FE5
SRR031032,2010-02-17 15:49:54,2014-05-26 10:57:13,17236178,1206532460,0,70,835,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/031/SRR031032/SRR031032.sralite.1,SRX013966,HUMgjnRAXPEI,WGS,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP001453,PRJNA46213,2,46213,SRS008090,SAMN00008617,simple,9606,Homo sapiens,BGI-Saqqaq,,,,,male,,no,,,,,BGI,SRA010102,,public,3EF440DFFB335CDDCB48B3E7E6C76B7D,4A18BCC48FEFD9E0473A2A5619AC3FF6
SRR031035,2010-02-17 15:50:52,2014-05-26 10:57:19,18235195,1276463650,0,70,892,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/031/SRR031035/SRR031035.sralite.1,SRX013967,HUMgjnRAPPEI,WGS,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP001453,PRJNA46213,2,46213,SRS008090,SAMN00008617,simple,9606,Homo sapiens,BGI-Saqqaq,,,,,male,,no,,,,,BGI,SRA010102,,public,02F3BC940B02B41F398819CB23FC84E8,3AA797FE531DDC2C6CFB939343CA188D
SRR031036,2010-02-17 15:48:19,2014-05-26 10:57:30,17158725,1201110750,0,70,857,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/031/SRR031036/SRR031036.sralite.1,SRX013967,HUMgjnRAPPEI,WGS,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP001453,PRJNA46213,2,46213,SRS008090,SAMN00008617,simple,9606,Homo sapiens,BGI-Saqqaq,,,,,male,,no,,,,,BGI,SRA010102,,public,EDDA6BB3F869FF8A0F65853D434AA095,26B351A2663ADF80B4DDF06325453B5D
SRR031037,2010-02-17 15:50:38,2014-05-26 10:57:04,17116851,1198179570,0,70,857,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/031/SRR031037/SRR031037.sralite.1,SRX013967,HUMgjnRAPPEI,WGS,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP001453,PRJNA46213,2,46213,SRS008090,SAMN00008617,simple,9606,Homo sapiens,BGI-Saqqaq,,,,,male,,no,,,,,BGI,SRA010102,,public,9EA23EBDE3B57470E68E1DCF5F63CBFC,1658197776518F93773D8B10E9BC8119
SRR031041,2010-02-17 15:49:46,2014-05-26 10:57:33,18644489,1305114230,0,70,921,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/031/SRR031041/SRR031041.sralite.1,SRX013968,HUMgjnRAOPEI,WGS,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP001453,PRJNA46213,2,46213,SRS008090,SAMN00008617,simple,9606,Homo sapiens,BGI-Saqqaq,,,,,male,,no,,,,,BGI,SRA010102,,public,94FBE6AE77B844DE93B6F6247A910193,261818529ED5C32D8C5E4E6885EA718C
SRR031042,2010-02-17 15:49:07,2014-05-26 10:57:19,16950074,1186505180,0,70,847,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/031/SRR031042/SRR031042.sralite.1,SRX013968,HUMgjnRAOPEI,WGS,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP001453,PRJNA46213,2,46213,SRS008090,SAMN00008617,simple,9606,Homo sapiens,BGI-Saqqaq,,,,,male,,no,,,,,BGI,SRA010102,,public,16766F7C7C49E57CA9DC11AA429128F6,5E9D4FAD2300DFE8A2FDD1BB7616CD74
SRR031043,2010-02-17 15:49:53,2014-05-26 10:58:06,17238486,1206694020,0,70,862,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/031/SRR031043/SRR031043.sralite.1,SRX013968,HUMgjnRAOPEI,WGS,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP001453,PRJNA46213,2,46213,SRS008090,SAMN00008617,simple,9606,Homo sapiens,BGI-Saqqaq,,,,,male,,no,,,,,BGI,SRA010102,,public,0310277E3D87687A65216591439ACD44,4801BFB0C64EEBEB88EB1E874BFC8326
SRR031051,2010-02-17 15:51:50,2014-05-26 10:58:59,14320791,1002455370,0,70,702,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR000/031/SRR031051/SRR031051.sralite.1,SRX013969,HUMgjnRAKPEI,WGS,PCR,GENOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer II,SRP001453,PRJNA46213,2,46213,SRS008090,SAMN00008617,simple,9606,Homo sapiens,BGI-Saqqaq,,,,,male,,no,,,,,BGI,SRA010102,,public,94E1F8AACAF536A4F21EEC18AA192419,391AF2AF9C98DF0D0910E1E3F74C3A82
