Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
DRR046411,2015-10-22 10:58:00,2015-10-01 12:26:38,77847,11754897,0,151,7,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/046/DRR046411/DRR046411.sralite.1,DRX041699,Sanganji_131421-3_A2_mtDNA_Capture_R2,WGS,RANDOM,GENOMIC,PAIRED,150,0,ILLUMINA,Illumina MiSeq,DRP002782,PRJDB4223,2,297662,DRS021186,SAMD00041001,simple,444079,fossil metagenome,SAMD00041001,,,,,,,no,,,,,NIG,DRA004001,,public,4B629666D0D84C080A3A60A46E6B8657,EB4C3B4D07DAFB09D5F8F36CE72641B3
DRR046412,2015-10-22 10:58:00,2015-10-01 12:32:58,75650451,7640695551,0,101,4337,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/046/DRR046412/DRR046412.sralite.1,DRX041700,Sanganji_131464_B_index12_R1,WGS,RANDOM,GENOMIC,PAIRED,100,0,ILLUMINA,Illumina HiSeq 2000,DRP002782,PRJDB4223,2,297662,DRS021187,SAMD00041002,simple,444079,fossil metagenome,SAMD00041002,,,,,,,no,,,,,NIG,DRA004001,,public,DD27834F5D316FEFC6E2EEAAED997851,EE54E7249F9B0869D1D594DCFE0BDB1B
DRR046414,2015-10-22 10:58:00,2015-10-01 12:26:23,1772051,267579701,0,151,149,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/046/DRR046414/DRR046414.sralite.1,DRX041702,Sanganji_131464_B_mtDNA_Capture_R1,WGS,RANDOM,GENOMIC,PAIRED,150,0,ILLUMINA,Illumina MiSeq,DRP002782,PRJDB4223,2,297662,DRS021187,SAMD00041002,simple,444079,fossil metagenome,SAMD00041002,,,,,,,no,,,,,NIG,DRA004001,,public,5C097865D60B87CDD91C73CDA9B2B58E,41FCA55D960B53AC3B3742C1004378F0
DRR046413,2015-10-22 10:58:00,2015-10-01 12:46:12,75650451,7640695551,0,101,4553,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/046/DRR046413/DRR046413.sralite.1,DRX041701,Sanganji_131464_B_index12_R2,WGS,RANDOM,GENOMIC,PAIRED,100,0,ILLUMINA,Illumina HiSeq 2000,DRP002782,PRJDB4223,2,297662,DRS021187,SAMD00041002,simple,444079,fossil metagenome,SAMD00041002,,,,,,,no,,,,,NIG,DRA004001,,public,DA57F698087884FC7232CC05E1AD5F93,A8619EA27561072BFE884CD6CD33A236
DRR046415,2015-10-22 10:58:00,2015-10-01 12:26:45,1772051,267579701,0,151,163,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/046/DRR046415/DRR046415.sralite.1,DRX041703,Sanganji_131464_B_mtDNA_Capture_R2,WGS,RANDOM,GENOMIC,PAIRED,150,0,ILLUMINA,Illumina MiSeq,DRP002782,PRJDB4223,2,297662,DRS021187,SAMD00041002,simple,444079,fossil metagenome,SAMD00041002,,,,,,,no,,,,,NIG,DRA004001,,public,16045E97FC0DB6E36CC567998BFDC6E1,058DBC35F15F532E775F5FCEA40A9BAB
DRR046406,2015-10-22 10:58:00,2015-10-01 12:28:04,135268,20425468,0,151,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/046/DRR046406/DRR046406.sralite.1,DRX041694,Sanganji_131421-3_A1_mtDNA_Capture_R1,WGS,RANDOM,GENOMIC,PAIRED,150,0,ILLUMINA,Illumina MiSeq,DRP002782,PRJDB4223,2,297662,DRS021185,SAMD00041000,simple,444079,fossil metagenome,SAMD00041000,,,,,,,no,,,,,NIG,DRA004001,,public,7AB9BD8449C0FE23DFB734BB27417185,F2AA38F105B57D95F57FB7EE210631CB
DRR046407,2015-10-22 10:58:00,2015-10-01 12:27:43,135268,20425468,0,151,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/046/DRR046407/DRR046407.sralite.1,DRX041695,Sanganji_131421-3_A1_mtDNA_Capture_R2,WGS,RANDOM,GENOMIC,PAIRED,150,0,ILLUMINA,Illumina MiSeq,DRP002782,PRJDB4223,2,297662,DRS021185,SAMD00041000,simple,444079,fossil metagenome,SAMD00041000,,,,,,,no,,,,,NIG,DRA004001,,public,D6DC47DFCEB4363D7C006E05DA363F40,CB83EEA7BC1B266E5D388F7B81DFE04F
DRR046409,2015-10-22 10:58:00,2015-10-01 13:14:58,356354850,35991839850,0,101,20440,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/046/DRR046409/DRR046409.sralite.1,DRX041697,Sanganji_131421-3_A2_index16_R2,WGS,RANDOM,GENOMIC,PAIRED,100,0,ILLUMINA,Illumina HiSeq 2000,DRP002782,PRJDB4223,2,297662,DRS021186,SAMD00041001,simple,444079,fossil metagenome,SAMD00041001,,,,,,,no,,,,,NIG,DRA004001,,public,8801D918E987A84738DA88BC7F7D1F03,EF0AC447CB2851405B61ABF3083C8E47
DRR046408,2015-10-22 10:58:00,2015-10-01 13:46:33,356354850,35991839850,0,101,19663,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/046/DRR046408/DRR046408.sralite.1,DRX041696,Sanganji_131421-3_A2_index16_R1,WGS,RANDOM,GENOMIC,PAIRED,100,0,ILLUMINA,Illumina HiSeq 2000,DRP002782,PRJDB4223,2,297662,DRS021186,SAMD00041001,simple,444079,fossil metagenome,SAMD00041001,,,,,,,no,,,,,NIG,DRA004001,,public,0B8FBB6C9F1A40CAD833269093C79E9E,A8270D7BEA3FBC25493C8E67D0B8808B
DRR046410,2015-10-22 10:58:00,2015-10-01 12:26:50,77847,11754897,0,151,6,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/DRR000/046/DRR046410/DRR046410.sralite.1,DRX041698,Sanganji_131421-3_A2_mtDNA_Capture_R1,WGS,RANDOM,GENOMIC,PAIRED,150,0,ILLUMINA,Illumina MiSeq,DRP002782,PRJDB4223,2,297662,DRS021186,SAMD00041001,simple,444079,fossil metagenome,SAMD00041001,,,,,,,no,,,,,NIG,DRA004001,,public,FDE36DD713EB66507B2CC14F66E41D0A,78263A2B2CD57A5047E3E7AB564780A0
